http://www.pro-football-reference.com/boxscores/201510250mia.htm,,,,,,,points,points,expected points before the play,expected points after the play,home team win %,
Quarter,Time,Down,ToGo,Location,Yard Line,Detail,HTX,MIA,EPB,EPA,Win%,
4,11:36,1,10,MIA 27,27,Brian Hoyer pass complete short left to Nate Washington for 27 yards touchdown,19,41,3.78,7,99.9,
4,11:36,,,MIA 27,27,Nick Novak kicks extra point good,20,41,0,0,99.9,
4,11:36,,,HTX 35,35,Nick Novak kicks off 65 yards touchback,20,41,0,-0.28,99.9,
4,11:27,1,10,MIA 20,20,Ryan Tannehill pass incomplete deep left intended for Jordan Cameron (defended by Darryl Morris). Penalty on Jadeveon Clowney: Roughing the Passer 15 yards (no play),20,41,0.28,1.27,99.9,
4,11:22,1,10,MIA 35,35,Jonas Gray right end for 2 yards (tackle by Jumal Rolle and Max Bullough),20,41,1.27,0.99,99.9,
4,10:45,2,8,MIA 37,37,Ryan Tannehill pass complete short left to Greg Jennings for 5 yards (tackle by Eddie Pleasant). Penalty on Dion Sims: Offensive Holding 10 yards (no play),20,41,0.99,-0.36,99.9,
4,10:21,2,18,MIA 27,27,Ryan Tannehill pass complete short right to Greg Jennings for 23 yards (tackle by Charles James),20,41,-0.36,2.26,99.9,
4,9:54,1,10,HTX 50,50,Ryan Tannehill pass complete short right to Jordan Cameron for 11 yards,20,41,2.26,2.98,99.9,
4,9:17,1,10,HTX 39,39,Jonas Gray left guard for 1 yard (tackle by Jadeveon Clowney),20,41,2.98,2.58,99.9,
4,8:39,2,9,HTX 38,38,Jonas Gray left guard for 3 yards (tackle by Brian Cushing and Christian Covington),20,41,2.58,2.28,99.9,
4,7:51,3,6,HTX 35,35,Ryan Tannehill pass incomplete short right intended for Dion Sims,20,41,2.28,0.97,99.9,
4,7:46,4,6,HTX 35,35,Andrew Franks 53 yard field goal good,20,44,0.97,3,99.9,
4,7:46,,,MIA 35,35,Andrew Franks kicks off 65 yards touchback,20,44,0,-0.28,99.9,
4,7:41,1,10,HTX 20,20,Brian Hoyer pass complete deep left to Nate Washington for 22 yards (tackle by Jamar Taylor),20,44,0.28,1.73,99.9,
4,7:25,1,10,HTX 42,42,Penalty on Ndamukong Suh: Neutral Zone Infraction 5 yards (no play),20,44,1.73,2.46,99.9,
4,7:25,1,5,HTX 47,47,Brian Hoyer pass incomplete short right intended for Nate Washington (defended by Ndamukong Suh),20,44,2.46,1.86,99.9,
4,7:08,2,5,HTX 47,47,Alfred Blue right guard for 2 yards (tackle by Ndamukong Suh),20,44,1.86,1.42,99.9,
4,6:35,2,5,HTX 47,47,Timeout #2 by Houston Texans,20,44,0,0,,
4,6:35,3,3,HTX 49,49,Brian Hoyer pass complete short right to DeAndre Hopkins for 7 yards (tackle by Brent Grimes),20,44,1.42,2.65,99.9,
4,6:08,1,10,MIA 44,44,Brian Hoyer pass incomplete short right intended for Arian Foster,20,44,2.65,2.11,99.9,
4,6:02,2,10,MIA 44,44,Arian Foster middle for 11 yards (tackle by Neville Hewitt),20,44,2.11,3.38,99.9,
4,5:37,1,10,MIA 33,33,Brian Hoyer pass complete deep right to Keith Mumphery for 16 yards. Penalty on Ndamukong Suh: Defensive Offside (Declined),20,44,3.38,4.44,99.9,
4,5:28,1,10,MIA 17,17,Arian Foster middle for 5 yards (tackle by C.J. Mosley),20,44,4.44,4.69,97.7,
4,4:54,2,5,MIA 12,12,Brian Hoyer pass incomplete short middle intended for Nate Washington,20,44,4.69,3.88,98,
4,4:48,3,5,MIA 12,12,Brian Hoyer pass complete short middle to DeAndre Hopkins for 7 yards (tackle by Reshad Jones),20,44,3.88,6.06,97.6,
4,4:09,1,5,MIA 5,5,Brian Hoyer pass incomplete short right intended for Nate Washington,20,44,6.06,5.15,98,
4,4:04,2,5,MIA 5,5,Brian Hoyer pass complete short right to Nate Washington for 5 yards touchdown,26,44,5.15,7,95.4,
4,4:04,2,5,MIA 5,5,Two Point Attempt: Brian Hoyer pass incomplete intended for Jonathan Grimes  conversion fails,26,44,0,-1,98.7,
4,4:04,,,HTX 35,35,Nick Novak kicks onside 10 yards recovered by Michael Thomas,26,44,0,-2.59,99.8,
4,3:58,1,10,HTX 45,45,Jonas Gray left guard for 8 yards (tackle by Brian Cushing),26,44,2.59,3.12,99.9,
4,3:21,2,2,HTX 37,37,Jonas Gray left end for 16 yards (tackle by Jadeveon Clowney),26,44,3.12,4.17,99.9,
4,2:40,1,10,HTX 21,21,Jonas Gray middle for -4 yards (tackle by J.J. Watt),26,44,4.17,3.09,99.9,
4,2:31,1,10,HTX 21,21,Timeout #3 by Houston Texans,26,44,0,0,,
4,2:31,2,14,HTX 25,25,Matt Moore pass complete short left to Greg Jennings for 14 yards (tackle by Whitney Mercilus and Darryl Morris),26,44,3.09,4.84,99.9,
4,2:00,1,10,HTX 11,11,Matt Moore kneels for -1 yards,26,44,4.84,3.98,99.9,
